"CP ITEM_NO","DIMENSIONS","QTY AVAIL"
"HOT003","28.5/*/*",1
"HOT007","120 CM/*/*",1
"HOT013","L (9-10)/*/*",1
"HOT013","M (7-8)/*/*",2
"HOT013","S (5-6)/*/*",1
"HOT013","XL (11-12)/*/*",1
"HOT013","XXL (13-14)/*/*",1
"HOT017","23.0/MID/*",1
"HOT017","25.0/LOW/*",1
"HOT017","26.0/MID/*",1
"HOT017","27.0/MID/*",1
"HOT017","28.0/MID/*",1
"HOT017","29.0/LOW/*",1
"HOT017","29.0/MID/*",1
"HOT017","30.0/LOW/*",1
"HOT017","30.0/MID/*",1
"HOT017","31.0/MID/*",1
"HOT018","L (9-10)/*/*",2
"HOT018","M (7-8)/*/*",1
"HOT018","S (5-6)/*/*",1
"HOT020","24.5/HIGH/*",1
"HOT020","24.5/LOW/*",1
"HOT020","25.5/LOW/*",1
"HOT020","25.5/MID/*",1
"HOT020","26.5/LOW/*",1
"HOT020","26.5/MID/*",1
"HOT020","28.5/HIGH/*",1
"HOT020","28.5/LOW/*",1
"HOT020","28.5/MID/*",1
"HOT020","29.5/LOW/*",1
"INTX0006","GREEN/*/*",2
"INTX0006","PINK/*/*",3
"INTX0013","PINK/BLUE/GRN/*/*",3
"INTX0040","GREEN/*/*",4
"INTX0040","ORANGE/*/*",2
"INTX0040","PINK/*/*",8
"KILT0014","DARK NAVY/12/*",1
"KILT0020","LIGHT LILAC/10/*",2
"KILT0020","LIGHT LILAC/12/*",1
"KILT0020","PETROL/14/*",1
"NORD0005","177/*/*",1
"NORD0005","185/*/*",1
"NORD0006","165/*/*",1
"NORD0006","172/*/*",1
"NORD0006","179/*/*",2
"NORD0007","151/*/*",1
"NORD0007","158/*/*",1
"NORD0008","26.5/*/*",1
"NORD0008","27.5/*/*",2
"NORD0008","29.5/*/*",1
"NORD0009","BLK/RED/26.5/*",1
"NORD0010","WHT/LT BLUE/22.5/*",1
"NRS030","MARINE BLUE/XL/*",3
"NRS030","MARINE BLUE/XXL/*",1
"NRS075","YELLOW/*/*",2
"NRS076","BLACK/54/*",1
"NRS076","BLACK/57/*",4
"NRS076","BLACK/60/*",1
"NRS093","GREEN/L/XL/*",1
"NRS093","GREEN/M/L/*",1
"OBER0052","RED/L/*",1
"OBER0052","RED/M/*",1
"OBER0052","ZINC GREY/L/*",1
"OBER0052","ZINC GREY/M/*",1
"OBER0053","CANYON/M/*",1
"OBER0053","CARBON BLACK/XXL/*",1
"OBER0054","NOCTURNAL BLUE/L/*",1
"OBER0055","BLACK/L/*",2
"OBER0055","BLACK/XL/*",1
"OBER0055","BLACK/XL-LNG/*",2
"OBER0055","BLACK/XL-S/*",2
"OBER0055","BLACK/XXL-LNG/*",2
"OBER0055","BLACK/XXL-S/*",1
"OBER0055","CANYON/M/*",1
"OBER0055","RED/L/*",1
"OBER0055","RED/XL/*",1
"OBER0055","ZINC GREY/L/*",1
"OBER0055","ZINC GREY/XXL/*",1
"OBER0056","BLACK/18/*",1
"OBER0057","BLACK/4P/*",1
"OBER0057","ICESCAPES BLUE/10/*",1
"OBER0057","ICESCAPES BLUE/4/*",1
"OBER0057","ICESCAPES BLUE/6/*",1
"OBER0057","ICESCAPES BLUE/8/*",1
"OBER0058","DUSK/10/*",1
"OBER0058","DUSK/12/*",1
"OBER0058","DUSK/14/*",1
"OBER0058","DUSK/8/*",1
"OBER0059","EBONY/2/*",1
"OBER0059","EBONY/6/*",1
"OBER0059","WHITE/2/*",1
"PAT1316","BLACK/L/*",2
"PAT1316","BLACK/XXL/*",1
"PAT1317","SEDIMENT/L/*",2
"PAT1317","SEDIMENT/M/*",2
"PAT1317","SEDIMENT/XL/*",1
"PAT1318","BLACK/L/*",2
"PAT1318","BLACK/M/*",2
"PAT1318","BLACK/XL/*",4
"PAT1318","BLACK/XXL/*",1
"PAT1319","BLACK/L/*",2
"PAT1319","BLACK/M/*",3
"PAT1319","BLACK/S/*",1
"PAT1319","BLACK/XL/*",3
"PAT1319","BLACK/XXL/*",2
"PAT1320","FORGE GRY X-DYE/L/*",4
"PAT1320","FORGE GRY X-DYE/M/*",5
"PAT1320","FORGE GRY X-DYE/S/*",2
"PAT1320","FORGE GRY X-DYE/XL/*",5
"PAT1320","FORGE GRY X-DYE/XS/*",1
"PAT1320","FORGE GRY X-DYE/XXL/*",2
"PAT1321","FORGE GRY X DYE/L/*",2
"PAT1321","FORGE GRY X DYE/M/*",2
"PAT1321","FORGE GRY X DYE/S/*",1
"PAT1321","FORGE GRY X DYE/XL/*",2
"PAT1321","FORGE GRY X DYE/XS/*",2
"BG0677","MAGNOLIA/XS/*",1
"BG0680","MULTI/S/*",1
"BG0680","MULTI/XS/*",1
"BG0681","MULTI/XL/*",1
"BG0683","SEAFOAM/E/*",1
"BG0684","SEAFOAM/XS/*",1
"BG0685","SEAFOAM/L/*",1
"BG0685","SEAFOAM/S/*",1
"BG0689","TROPIX/XL/*",1
"BG0691","MULTI/S/*",1
"BG0692","MULTI/S/*",1
"BG0692","MULTI/XS/*",1
"BG0693","MULTI/L/*",1
"BG0699","BLACK/M/*",1
"C3W0177","LILAC/*/*",2
"C3W0178","NEON MELON/*/*",3
"C3W0180","NEON YELLOW/*/*",1
"C3W0184","NEON YELLOW/*/*",2
"DON180","A-LT GRY/WHT/L/*",2
"DON184","C-NVY/MTSTN/CHR/L/*",1
"DON186","D-OFF WHITE/BLK/*/*",1
"DYN0006","25.5/*/*",1
"DYN0008","30.5/*/*",1
"DYN0008","31.5/*/*",1
"DYN0012","23.5/*/*",1
"DYN0014","23.5/*/*",1
"DYN0014","24.5/*/*",1
"DYN0015","23.5/*/*",1
"DYN0016","23.5/*/*",2
"DYN0016","24.5/*/*",1
"FUR444","BERRY/*/*",1
"FUR457","GARNET/*/*",1
"FUR457","STONE/*/*",1
"FUR460","KALE/*/*",1
"FUR466","BLACK/*/*",18
"FUR466","BLAZE/*/*",1
"FUR466","HOT PINK/*/*",5
"FUR466","NAVY/*/*",3
"FUR466","PLANET GRAPES/*/*",7
"FUR466","RED/*/*",3
"FUR466","VIOLA/*/*",2
"FUR466","YUM YUM/*/*",3
"FUR467","BARK AND STORMY/*/*",3
"FUR467","LIGHT SPEED/*/*",1
"FUR467","REAL TREE XTRA/*/*",6
"FUR467","TRUE TIMBR BLAZ/*/*",2
"FUR469","BLACK/*/*",1
"FUR471","BLACK/*/*",21
"FUR471","CARBON/*/*",14
"FUR471","DAY GLO/*/*",3
"FUR471","GLO STICK/*/*",2
"FUR471","HOT PINK/*/*",8
"FUR471","NAVY/*/*",4
"FUR471","POLAR PLUNGE/*/*",4
"FUR471","YUM YUM/*/*",4
"GNU0049","WHITE/S-M/*",1
"HES167","NAVY/10/*",1
"HES179","BLACK/OFF WHITE/8/*",1
"HES183","BLACK/7/*",1
"HES183","RED/5/*",1
"HES188","BLACK/5/*",1
"HES189","BLACK/5/*",1
"JB0120","26 IN/20MM/*",7
"JB0120","26 IN/25MM/*",26
"JB0120","27 IN/20MM/*",6
"JB0120","29 IN/20MM/*",25
"JB073","BLACK/*/*",2
"JB241","14/*/*",5
"JB398","BLACK/*/*",2
"JB444","26X1.00-1.25/PV/*",6
"JB444","28X1.00-0.50/SV/*",1
"JB487","SILVER/*/*",1
"JB540","SILVER/*/*",1
"MAU0320","MAT BLK RUB/GRY/*/*",1
"MAU0325","MATTE TORT/HCL/*/*",1
"MAU0326","MARLIN/GREY/*/*",1
"MAU0345","BLK TORT/GRY/*/*",1
"MAU0352","MATTE TORT/HCL/*/*",1
"MAU0355","MAT TORT/BRONZE/*/*",1
"MKR004","BLACK/*/*",3
"MKR004","WHITE/*/*",1
"MTI236","BLUE-GRAY/2XL-3XL/*",1
"MTI236","BLUE-GRAY/S-M/*",1
"MTI62","BLUE/XS-S/*",4
"OGEAR013","NAVY/XS/*",1
"OGEAR014","EGGPLANT/XL/*",1
"OGEAR014","EGGPLANT/XS/*",1
"OGEAR014","MAROON FLICKER/L/*",1
"OGEAR014","MAROON FLICKER/M/*",1
"OGEAR016","BLACK/3 XL/*",4
"OGEAR016","BLACK/L/*",6
"OGEAR016","BLACK/M/*",8
"OGEAR016","BLACK/S/*",6
"OGEAR016","BLACK/XL/*",6
"OGEAR016","BLACK/XS/*",3
"OGEAR016","BLACK/XXL/*",3
"OGEAR016","GRAY FLANNEL/L/*",3
"OGEAR016","GRAY FLANNEL/M/*",1
"OGEAR016","GRAY FLANNEL/S/*",2
"OGEAR016","GRAY FLANNEL/XL/*",2
"OGEAR016","PEWTER/XL/*",1
"OGEAR016","PEWTER/XS/*",1
"OGEAR017","BLACK/S/*",1
"OGEAR017","BLACK/XL/*",3
"OGEAR018","CITRUS/L/*",1
"OGEAR018","CITRUS/S/*",1
"OGEAR018","CITRUS/XL/*",1
"OGEAR019","COBALT BLUE/L/*",1
"OGEAR019","COBALT BLUE/S/*",1
"OGEAR019","COBALT BLUE/XS/*",1
"OGEAR020","REVOLUTION PRNT/L/*",1
"OGEAR020","REVOLUTION PRNT/M/*",1
"OGEAR020","REVOLUTION PRNT/S/*",1
"OGEAR020","REVOLUTION PRNT/XL/*",1
"OGEAR020","REVOLUTION PRNT/XS/*",1
"OGEAR021","MAGENTA/L/*",1
"OGEAR021","MAGENTA/M/*",1
"OGEAR021","MAGENTA/S/*",1
"OGEAR022","OLIVE/L/*",1
"OGEAR022","OLIVE/S/*",1
"OGEAR022","OLIVE/XS/*",1
"OGEAR023","COBALT BLUE/L/*",1
"OGEAR023","COBALT BLUE/S/*",1
"OGEAR023","COBALT BLUE/XL/*",1
"OGEAR024","SANDSTONE/S/*",1
"OGEAR024","WHITE/XS/*",1
"OGEAR025","HEATHER WEAVE/S/*",1
"OGEAR028","BLACK/3XL/*",1
"OGEAR028","BLACK/L/*",10
"OGEAR028","BLACK/M/*",2
"OGEAR028","BLACK/S/*",7
"OGEAR028","BLACK/XL/*",2
"ONL1531","ROSE VIOLET/M/*",1
"ONL1531","ROSE VIOLET/S/*",1
"ONL1535","PEPPER/5/*",1
"ONL1536","BLACK/5/*",1
"ONL1537","BLACK/XS/*",1
"ONL1539","BLACK/XS/*",1
"ONL1542","HORIZON/8/*",1
"ONL1543","MULTI/10/*",1
"ONL1543","MULTI/14/*",1
"ONL1544","TIGER LILY/12/*",1
"ONL1544","TIGER LILY/14/*",1
"ONL1546","BLACK/M/*",1
"ONL1546","VANILLA/M/*",1
"ONL1554","BLK/COAL/L/*",1
"ONL1554","BLK/COAL/M/*",2
"ONL1554","BLK/COAL/XL/*",2
"ONL1555","NAVY/INDIGO/NVY/10/*",2
"ONL1555","NAVY/INDIGO/NVY/6/*",1
"ONL1555","NAVY/INDIGO/NVY/8/*",1
"ONL1555","PEPPER/BLK/BLK/12/*",1
"ONL1555","PEPPER/BLK/BLK/4/*",1
"ONL1556","INDPATCH/WHT/NV/10/*",1
"ONL1556","INDPATCH/WHT/NV/6/*",1
"POL043","BLACK/L/*",6
"POL043","BLACK/M/*",8
"POL043","BLACK/S/*",2
"POL043","BLACK/XL/*",4
"POL043","BLACK/XXL/*",6
"POL044","BLACK/3XL/*",1
"POL044","BLACK/XL/*",3
"POL044","BLACK/XXL/*",3
"POL045","BLACK/L/*",5
"POL045","BLACK/S/*",5
"AT584","WHT/DRK BLUE/27.5/*",1
"AT589","BLK/WHT/RED/19.5/*",2
"AT600","BLACK/*/*",1
"AT602","RED/BRT RED/*/*",1
"AT610","WHT/PURPLE/26.5/*",1
"AT612","159/*/*",1
"AT612","166/*/*",2
"AT612","173/*/*",2
"AT613","157/*/*",1
"AT613","164/*/*",2
"AT614","170/*/*",1
"AT614","177/*/*",2
"AT617","155/*/*",1
"AT618","165/*/*",1
"AT618","172/*/*",1
"AT619","BLK/RED/100MM/*",1
"AT619","BLK/RED/90MM/*",1
"AT620","BLACK/100MM/*",1
"AT620","BLK/RED/100MM/*",2
"AT620","BLK/RED/115MM/*",1
"AT621","BLK/WHT/90MM/*",2
"AT622","DRK BLUE/RED/26.5/*",1
"AT622","DRK BLUE/RED/27.5/*",1
"AT622","DRK BLUE/RED/29.5/*",1
"AT623","DRK BLUE/GRN/26.5/*",1
"AT624","BLACK/26.5/*",1
"AT624","BLACK/29.5/*",1
"AT626","BLK/ANTHRACITE/30.5/*",1
"AT627","WHT/GREY/23.5/*",2
"AT627","WHT/GREY/25.5/*",1
"AT628","WHT/PURPLE/22.5/*",1
"AT628","WHT/PURPLE/25.5/*",1
"AT628","WHT/PURPLE/26.5/*",1
"AT631","DRK BLUE/RED/24.5/*",2
"CB315","STAINLESS/*/*",3
"CB318","CORAL/*/*",2
"CB319","CARDINAL/*/*",2
"CB319","COBALT/*/*",1
"CB319","IRIS/*/*",2
"CB319","JET/*/*",1
"CB319","LIME/*/*",1
"CB320","CARDINAL/*/*",2
"CB320","COBALT/*/*",2
"CB320","JET/*/*",1
"CB321","TEAL/ICE GREEN/*/*",1
"CB326","ATLANTIC/*/*",1
"CB326","DRAGON/*/*",2
"CB327","BONFIRE/*/*",1
"CB327","ELECTRIC/*/*",1
"CB327","GLACIER/*/*",2
"CB327","OBSIDIAN/*/*",2
"CB333","SMOKE/*/*",2
"CB334","DPAMTHYST/CORAL/*/*",1
"FRIV001","CHARCOAL/M/*",8
"FRIV001","CHARCOAL/S/*",3
"FRIV001","PINK/M/*",3
"FRIV001","PINK/S/*",9
"FRIV0011","BLACK/M/*",12
"FRIV0011","BLACK/S/*",13
"FRIV0011","PURPLE/L/*",2
"FRIV0011","PURPLE/M/*",10
"FRIV0011","PURPLE/S/*",11
"FRIV0012","BLACK/S/*",5
"FRIV0012","BLACK/XL/*",2
"FRIV0014","BLACK/M/*",30
"FRIV0014","BLACK/S/*",18
"FRIV0014","FUSIA/M/*",32
"FRIV0014","FUSIA/S/*",32
"FRIV0015","BLACK/BLUE/M/*",1
"FRIV0015","BLACK/BLUE/XL/*",3
"FRIV0015","BLACK/RED/L/*",1
"FRIV0015","BLACK/RED/M/*",2
"FRIV0015","BLACK/RED/XL/*",4
"FRIV0016","BLUE/M/*",13
"FRIV0016","BLUE/S/*",11
"FRIV0017","NAVY/M/*",3
"FRIV0017","ORCHID/L/*",2
"FRIV0017","ORCHID/M/*",8
"FRIV0017","ORCHID/S/*",5
"FRIV002","LT GREY/S/*",5
"FRIV002","NAVY/S/*",3
"GIR414","HI YELLOW/S/*",1
"GIR416","MAT BLK-BRT PNK/M/*",1
"GIR420","BLK/BRT RED/UNIV/*",1
"GIR424","MIL SPEC OL-BLK/M/*",1
"NEF360","MUSTARD/*/*",1
"NEF365","BLACK/*/*",1
"NEF365","GOLD/*/*",1
"NEF365","GREEN/*/*",1
"OAKG0112","FIRE IRIDIUM/*/*",1
"OAKG0125","COPPER CAMO/PERSIMMON/*",1
"OAKG0362","BLACK/CLEAR/*",9
"OAKG0362","BLACK/PERSIMMON/*",24
"OAKH0001","MATTE BLACK/L/*",1
"OAKH0002","BLACKOUT/L/*",3
"OAKH0002","BLACKOUT/M/*",1
"OAKH0002","BLACKOUT/S/*",2
"OAKH0002","DARK BLUE/M/*",1
"OAKH0002","FORGED IRON/L/*",1
"OAKH0002","WHITE/L/*",2
"OAKH0002","WHITE/S/*",1
"OAKH0003","BLACKOUT/L/*",1
"ONL1315","PINK/XS/*",1
"PAT1186","SEDIMENT/L/*",1
"PAT1186","SEDIMENT/M/*",1
"PAT1190","GEODE PURPLE/L/*",1
"PAT1190","GEODE PURPLE/S/*",2
"PAT1190","GEODE PURPLE/XS/*",1
"PAT1195","BLACK/S/*",1
"PAT1197","LGHTVIOLETBLUE/OSFA/*",2
"PAT1197","STICKERPINK/OSFA/*",2
"PAT1197","WHT/DRFTGREY/OSFA/*",2
"PAT1198","BLACK/OSFA/*",2
"PAT1198","WHT/FIRE/AN BLU/OSFA/*",2
"PAT1199","COPPER ORE/OSFA/*",1
"PAT1200","DOLOMITE BLUE/OSFA/*",2
"PAT1200","DRIFGREY/MATGRE/OSFA/*",2
"PAT1200","EL CAP KHAKI/OSFA/*",1
"PAT1200","FORGE GREY/OSFA/*",2
"PAT1200","NOMAD GREEN/OSFA/*",1
"PAT1200","WHT/FORGEGREY/OSFA/*",1
"PAT1202","IMPERIAL BLUE/*/*",1
"PAT1209","BLACK/12/*",1
"PAT1211","ATOLL BLUE/OSFA/*",2
"PAT1211","TASMANIAN TEAL/OSFA/*",2
"POL061","BLACK/L/*",1
"POL061","BLACK/S/*",2
"POL061","BLACK/XL/*",3
"POL061","BLACK/XXL/*",3
"POL062","BLACK-PINK/L/*",3
"POL062","BLACK-PINK/M/*",1
"POL062","BLACK-PINK/S/*",5
"POL062","BLACK-PINK/XL/*",2
"POL062","BLACK-PINK/XS/*",2
"POL063","BLACK-PINK/L/*",5
"POL063","BLACK-PINK/M/*",3
"POL063","BLACK-PINK/S/*",3
"POL063","BLACK-PINK/XS/*",3
"POL064","BLACK-BLUE/L/*",4
"POL064","BLACK-BLUE/M/*",3
"POL064","BLACK-BLUE/S/*",2
"POL064","BLACK-BLUE/XL/*",4
"POL064","BLACK-BLUE/XS/*",3
"POL065","BLACK-BLUE/L/*",2
"POL065","BLACK-BLUE/M/*",4
"POL065","BLACK-BLUE/XL/*",4
"POL065","BLACK-BLUE/XS/*",2
"POL066","BLACK/L/*",1
"POL066","BLACK/M/*",1
"POL066","BLACK/S/*",2
"POL066","BLACK/XL/*",2
"POL066","BLACK/XXL/*",2
"POL067","BLACK/L/*",2
"POL067","BLACK/M/*",2
"POL067","BLACK/S/*",3
"POL067","BLACK/XL/*",2
"POL067","BLACK/XS/*",2
"POL068","BLACK/L/*",8
"PRC055","SMALL/*/*",1
"PRC100","SMALL/*/*",2
"PRC100","XLG/*/*",1
"PRC154","REC/*/*",1
"PRN976","WEATHRBLUEHTHR/L/*",1
"686349","BLACK/L/*",1
"686349","BLACK/XL/*",1
"686357","BLUEBIRD CLRBLK/L/*",1
"686358","BONE WASH CLRBL/L/*",1
"686358","BONE WASH CLRBL/M/*",1
"686358","GREY MELANGE/XL/*",1
"686358","GREY MELANGE/XXL/*",1
"686358","RUSTY RED CLRBL/M/*",1
"686358","RUSTY RED CLRBL/S/*",1
"686359","WHITE CAMO CLRB/M/*",1
"686359","WHITE CAMO CLRB/S/*",1
"686361","BLK KNOCKOUT/M/*",1
"686361","CHAR WASHDKLEIN/S/*",1
"686362","CHARCOAL HEATHR/S/*",1
"686363","BLACK/XL/*",1
"686363","KHAKI/XL/*",1
"686365","BLUESTEEL/M/*",1
"686365","BLUESTEEL/XL/*",1
"686365","RUSTY RED/XL/*",1
"686366","BLACK/L/*",1
"686366","BLACK/XL/*",1
"686367","BLUESTL MELANGE/M/*",1
"686367","BLUESTL MELANGE/S/*",1
"686367","BLUESTL MELANGE/XS/*",1
"686367","GREY MELANGE/S/*",1
"686368","FERN HERINGBONE/L/*",1
"686368","FERN HERINGBONE/M/*",1
"686368","FERN HERINGBONE/S/*",1
"686369","BLUSH WASH/S/*",1
"686369","GHOST ROSE CAMO/M/*",1
"686369","GHOST ROSE CAMO/S/*",1
"686369","GHOST ROSE CAMO/XS/*",1
"686370","BONE WASH/M/*",1
"686370","BONE WASH/S/*",1
"686370","BONE WASH/XS/*",1
"686370","FERN CAROUSEL/M/*",1
"686370","FERN CAROUSEL/XS/*",1
"686371","BLACK MELANGE/XS/*",1
"686372","BLACK/M/*",2
"686372","BLACK/S/*",2
"686372","BLACK/XS/*",2
"686373","VIOLET/L/*",1
"686373","VIOLET/M/*",1
"686373","VIOLET/S/*",1
"686374","BLACK DENIM/L/*",2
"686374","BLACK DENIM/M/*",1
"686374","BLACK DENIM/S/*",2
"686374","BLACK DENIM/XL/*",1
"686375","GREY DENIM/M/*",1
"686375","GREY DENIM/S/*",1
"686375","GREY DENIM/XS/*",1
"686376","BLACK/L/*",1
"686376","BLACK/M/*",1
"686376","BLACK/XL/*",1
"686376","BLK HERRINGBONE/L/*",1
"686376","BLK HERRINGBONE/M/*",1
"686376","CHOC MOSAIC/L/*",1
"686376","CHOC MOSAIC/M/*",1
"AK028","WHITE/BLACK/*/*",1
"ARCD0010","OLIVE GREEN/OSFA/*",1
"ARCD0013","BROWN/CARAMEL/M/*",1
"ARCD0013","NAVY/M/*",1
"ARCD0013","NAVY/XL/*",1
"ARCD0019","DOVE/OSFA/*",2
"ARCD0019","PURPLE/OSFA/*",1
"ARCD0020","BLK/IVYGREEN/OSFA/*",1
"ARCD0020","CARAMEL/OSFA/*",2
"ARCD0021","BLACK/OSFA/*",4
"ARCT0006","BLACK/4XL/*",3
"ARCT0008","BLACK/XS/*",2
"DAB283","BLK/ORANGE/28.5/*",1
"DAB284","TRANS/BLK/26.5/*",1
"DAB284","TRANS/BLK/29.5/*",1
"DAB284","TRANS/BLK/30.5/*",1
"DAB285","BLK/RED/29.5/*",1
"DAB286","BLK/BLK/26.5/*",1
"DAB286","BLK/BLK/28.5/*",1
"DAB286","BLK/BLK/29.5/*",1
"DAB286","BLK/BLK/30.5/*",1
"DAB288","BLK/GRAPE/23.5/*",1
"DAB288","BLK/GRAPE/24.5/*",1
"DAB289","BLK/WHT/24.5/*",1
"DAB290","BLK TRANS/BLK/23.5/*",1
"DAB291","TRANS-BLK/23.5/*",1
"DAB292","TRANS-BLACK/22.5/*",1
"DAB293","TRANS/BLK/15.5/*",1
"DAB294","TRANS-WHITE/23.5/*",3
"DAB294","TRANS-WHITE/26.5/*",1
"DAB295","TRANS-WHITE/19.5/*",2
"DAB295","TRANS-WHITE/20.5/*",4
"DAB295","TRANS-WHITE/21.5/*",3
"DAB295","TRANS-WHITE/22.5/*",2
"DAK0040","BLACK/*/*",3
"DAK0040","BURGUNDY/*/*",3
"DAK0040","GREEN/*/*",3
"DAK0040","RED/*/*",4
"DAK0054","COFFEE/*/*",1
"DAK0056","BLACK MIX/*/*",1
"DAK0058","BEACH GL STRIPE/*/*",2
"DAK0059","GREY/*/*",1
"ESS382","BLUE/52MM/*",1
"ESS395","SATIN BLACK/XL/*",2
"ESS531","BLACK/L/*",2
"ESS531","BLACK/M/*",1
"ESS531","BLACK/S/*",1
"ESS531","BLACK/XL/*",1
"NEF514","CORAL/*/*",3
"NEF514","CYAN/*/*",2
"NEF514","MAGENTA/*/*",2
"NEF514","NEON PURPLE/*/*",3
"NEF514","ORANGE/*/*",4
"NEF514","ORCHID/*/*",1
"NEF514","PINK/*/*",2
"NEF514","PURPLE/*/*",1
"NEF514","RASPBERRY/*/*",3
"NEF514","RED/*/*",2
"NEF514","SLIM/*/*",2
"NEF514","TENNIS/*/*",1
"ONL1416","HTHR BLACK/42/*",1
"PAT1348","FEATHER GREY/L/*",2
"PAT1348","FEATHER GREY/M/*",3
"PAT1348","FEATHER GREY/S/*",3
"PAT1348","FEATHER GREY/XL/*",2
"PAT1348","FEATHER GREY/XXS/*",1
"PAT1349","CELADON/OSFA/*",2
"PAT1349","FORGEGREY/FORGR/OSFA/*",2
"PAT1349","MAKO BLUE/OSFA/*",2
"PAT1349","STICKER PINK/OSFA/*",2
"PAT1349","WHT/LTVOLETBLUE/OSFA/*",2
"PAT1350","BIG SUR BLUE/OSFA/*",2
"PAT1350","WHITE/OSFA/*",2
"PAT1350","WHT/BRKUPBLUE/OSFA/*",2
"PZ0315","BLK-WHITE/XS/*",1
"PZ0316","BLACK/XS/*",1
"PZ0320","SCREAMING PINK/XS/*",1
"PZ0321","BLACK/L/*",2
"PZ0321","BLACK/M/*",2
"PZ0326","BLK-BELGIAN/38/*",1
"PZ0326","BLK-BELGIAN/40/*",1
"PZ0326","BLK-BELGIAN/41/*",1
"PZ0330","STRIP STRIP GRY/L/*",2
"PZ0333","SCRM YELLOW/BLK/M/*",1
"PZ0335","MONUMENT/BLK/L/*",1
"PZ0335","MONUMENT/BLK/M/*",1
"PZ0336","BLACK/BLACK/M/*",1
"PZ0340","BLACK/XL/*",1
"PZ0340","BLACK/XS/*",1
"PZ0341","BLACK/M/*",1
"PZ0342","BLACK/XL/*",2
"PZ0343","BLACK/42/*",1
"PZ0343","BLACK/44/*",2
"PZ0343","BLACK/45/*",1
"PZ0343","BLACK/46/*",1
"PZ0344","WHITE/36/*",1
"PZ0344","WHITE/37/*",1
"PZ0344","WHITE/38/*",2
"PZ0344","WHITE/39/*",1
"REF0072","BROWN/5/*",1
"BEL178","SILVER/*/*",2
"BEL181","GREY/HI YELLOW/*/*",4
"BEL184","BLACK-GREY/*/*",1
"BEL186","BLACK/*/*",1
"BG0547","MIDNIGHT/XL/*",1
"C3W0231","NAVY/*/*",2
"C3W0231","PINK/*/*",2
"C3W0232","HEATHER MINT/*/*",1
"C3W0232","NEON MELON/*/*",2
"C3W0232","NEON ORANGE/*/*",3
"C3W0232","PURPLE/*/*",2
"C3W0233","CHARCOAL/*/*",2
"C3W0234","LIGHT BROWN/*/*",1
"C3W0234","PURPLE/*/*",2
"C3W0239","BLUE/*/*",1
"C3W0239","NEON MELON/*/*",2
"C3W0243","CREME/*/*",1
"C3W0243","MELON/*/*",2
"C3W0243","PINK/*/*",2
"C3W0254","BROWN/*/*",1
"C3W0255","CHARCOAL/*/*",2
"C3W0255","HTHR GRY/*/*",1
"C3W0256","PINK/*/*",1
"C3W0258","HEATHR GREY/*/*",1
"C3W0259","FORST GREN MARL/*/*",2
"C3W0265","MINT/*/*",2
"C3W0265","PINK/*/*",2
"C3W0265","RASTA/*/*",2
"C3W0267","CHARCOAL/*/*",1
"C3W0267","DARK RED/*/*",3
"C3W0268","GREEN/*/*",1
"C3W0268","KHAKI/*/*",1
"DAK1016","GREEN/*/*",4
"DAK1024","GREEN/*/*",36
"ESS253","BLACK/L/*",1
"HEAD0111","144/*/*",1
"HEAD0112","141/*/*",1
"HEAD0113","140/*/*",1
"HEAD0114","127/*/*",1
"HEAD0115","127/*/*",1
"HEAD0116","ANTH/YELLW/26.5/*",1
"HEAD0117","ANTH/GRN/26.5/*",1
"HEAD0118","ANTH/RED/26.5/*",1
"HEAD0119","ANTH/GRN/26.5/*",1
"HEAD0120","ANTH/RED/26.5/*",1
"HEAD0121","BLACK/26.5/*",1
"HEAD0122","ANTHRICITE/26.5/*",1
"HEAD0123","BLK/RED/26.5/*",1
"HEAD0123","WHT/YELLW/26.5/*",1
"HEAD0124","ANTH/BLK-RED/26.5/*",1
"HEAD0125","ANTH/BLK-YLW/26.5/*",1
"HEAD0126","BLK/RED/26.5/*",1
"HEAD0127","ANTH/BLK/24.5/*",1
"HEAD0128","BLACK/24.5/*",1
"HEAD0129","ANTH/BLK/24.5/*",1
"HEAD0131","ANTHRICITE/25.5/*",1
"HEAD0132","BLK/SALMON/25.5/*",1
"HEAD0133","BLK/COPPER/25.5/*",1
"HEAD0133","WHT/COPPER/25.5/*",1
"HEAD0134","ANTH/BLK/24.5/*",1
"HEAD0135","BLK/ANTH/24.5/*",1
"HEAD0136","BLACK/24.5/*",1
"HEAD0137","ANTHRICITE/21.5/*",1
"HEAD0138","BLK/WHT/23.5/*",1
"HEAD0139","WHT/GRAY/20.5/*",1
"HEAD0140","YELLOW/BLK/16.5/*",1
"HO1881","10-15/67/*",1
"HO1881","7-11/65/*",1
"HO1884","10-15/*/*",2
"HO1884","4-8/*/*",1
"HO1886","10-15/*/*",1
"HO1886","7-11/*/*",1
"HO1913","136/*/*",1
"HO1915","125/*/*",1
"HO1919","10-14/*/*",3
"HO1920","YELLOW/7-10.5/*",1
"HO1921","8-11/*/*",1
"HO1923","5.4/*/*",2
"HO1926","141/*/*",1
"HO1927","BLK/RED/2X/*",1
"HO1927","BLK/RED/3X/*",3
"HO1928","RED/SXL/*",5
"HO1929","BLK/PURPLE/L/*",1
"HO1932","ZAPP/XXL/*",1
"HO1938","BLK/PINK/L/*",3
"HO1938","BLK/PINK/M/*",1
"HO1938","BLK/PINK/XL/*",1
