"CP ITEM_NO","DIMENSIONS","QTY AVAIL"
"FUR173","NAVY/*/*",4
"FUR173","RED/*/*",2
"FUR179","BLACK/*/*",1
"FUR179","LOTUS/*/*",2
"FUR179","NAVY/*/*",1
"FUR179","RED/*/*",1
"FUR179","VIVA VIOLET/*/*",2
"GIR464","MAT BR PINK/BLK/M/*",1
"GIR464","MAT BR PINK/BLK/S/*",1
"GIR464","MATT GLACIER/S/*",1
"GIR467","HI YELLOW/UNIV/*",1
"GIR467","MATT BLACK/UNIV/*",5
"ALT0001","BLACK/10/*",1
"ALT0001","BLACK/10.5/*",1
"ALT0001","BLACK/11/*",1
"ALT0001","BLACK/11.5/*",1
"ALT0001","BLACK/12.5/*",1
"ALT0001","BLACK/9/*",1
"ALT0002","BLACK/10/*",1
"ALT0002","BLACK/7/*",1
"ALT0002","BLACK/8/*",1
"ALT0002","BLACK/9/*",1
"ALT0003","BLACK/10/*",1
"ALT0003","BLACK/10.5/*",1
"ALT0003","BLACK/11.5/*",1
"ALT0003","BLACK/12/*",1
"ALT0003","BLACK/12.5/*",1
"ALT0003","BLACK/9/*",1
"ALT0003","BLACK/9.5/*",1
"ALT0004","GREY/10/*",1
"ALT0004","GREY/6.5/*",1
"ALT0004","GREY/7/*",1
"ALT0004","GREY/7.5/*",1
"ALT0004","GREY/8/*",1
"ALT0004","GREY/8.5/*",1
"ALT0004","GREY/9/*",1
"ALT0004","GREY/9.5/*",1
"ALT0005","GREY/ORANGE/10/*",1
"ALT0005","GREY/ORANGE/11.5/*",1
"ALT0005","GREY/ORANGE/12/*",1
"ALT0005","GREY/ORANGE/12.5/*",1
"ALT0005","GREY/ORANGE/9/*",1
"ALT0005","GREY/ORANGE/9.5/*",1
"ALT0006","RASPBERRY/8.5/*",1
"ALT0006","TEAL/GREY/10/*",1
"ALT0006","TEAL/GREY/7/*",1
"ALT0006","TEAL/GREY/8/*",1
"ALT0007","GRAY/BLUE/9/*",1
"ALT0008","GRAY/9/*",1
"ALT0008","GRAY/PURPLE/8/*",1
"ALT0009","BLACK/10.5/*",1
"ALT0009","BLACK/11/*",1
"ALT0009","BLACK/11.5/*",1
"ALT0009","BLACK/12/*",1
"ALT0009","BLACK/9/*",1
"ALT0009","BLACK/9.5/*",1
"ALT0010","BLACK/10/*",1
"ALT0010","BLACK/10.5/*",1
"ALT0010","BLACK/7/*",1
"ALT0010","BLACK/7.5/*",1
"ALT0010","BLACK/8/*",1
"ALT0010","BLACK/9/*",1
"ALT0010","BLACK/9.5/*",1
"C3W0366","HAZARD YELLOW/L/*",6
"C3W0366","HAZARD YELLOW/M/*",3
"C3W0367","MATTE STONE/L/*",6
"C3W0367","MATTE STONE/M/*",4
"CHI079","YELLOW/*/*",2
"CHI081","NAVY-GRN/*/*",2
"CHI082","BLACK/*/*",1
"CHI094","BLACK/*/*",4
"CHI094","HIGH GRN/GREY/*/*",1
"CHI094","PINK/BLACK/*/*",1
"CHI098","MAX 4/*/*",1
"CHILY0003","BLACK/L/*",1
"CHILY0004","BLUE BERRY/M/*",1
"CHILY0004","BLUE BERRY/XL/*",1
"CHILY0005","BLUE BERRY/L/*",2
"CHILY0005","BLUE BERRY/M/*",2
"CHILY0005","BLUE BERRY/XL/*",1
"DAK0064","BLACK/*/*",2
"DAK0064","CHARCOAL STRIPE/*/*",2
"DAK0064","LEMON STRIPE/*/*",2
"DAK0066","BLACK/*/*",1
"DAK0070","BLACK/XL/*",2
"DAK0079","BLACK/XL/*",4
"DON161","C-NVY/WHT/RAZ/XXL/*",1
"HO1974","10-15/69/*",1
"HO1974","10-15/71/*",1
"HO1974","4-8/65/*",1
"HO1974","7-11/67/*",1
"HO1975","7-11/*/*",1
"HO1976","10-15/*/*",1
"HO1976","4-8/*/*",1
"HO1976","7-11/*/*",1
"HO1978","SM/59/*",7
"HO1978","STD/63/*",7
"HO1978","STD/67/*",16
"HO2000","144/*/*",1
"HO2001","136/*/*",2
"HO2001","141/*/*",2
"HO2002","125/*/*",1
"HO2002","130/*/*",1
"HO2002","135/*/*",3
"HO2002","140/*/*",8
"HO2002","145/*/*",3
"HO2003","130/*/*",2
"HO2003","135/*/*",1
"HO2004","119/*/*",2
"HO2005","10-14/*/*",1
"HO2005","7-10.5/*/*",1
"HO2006","10-14/*/*",4
"HO2006","4-8/*/*",1
"HO2006","7-10.5/*/*",3
"HO2007","BLACK/4-8/*",1
"HO2007","BLK/BLUE/10-14/*",7
"HO2007","BLK/BLUE/4-8/*",4
"HO2007","BLK/BLUE/7-10.5/*",8
"HO2008","K12-2/*/*",2
"HO2009","4.7/*/*",1
"HO2009","5.0/*/*",1
"HO2010","4.11/*/*",1
"HO2012","4.8/*/*",1
"HO2012","5.2/*/*",2
"HO2013","3.9/*/*",1
"HO2014","4.7/*/*",1
"HO2014","5.3/*/*",1
"HO2015","5.2/*/*",2
"HO2016","4.8/*/*",2
"HO2016","5.4/*/*",5
"HO2020","BLK/FLOURO/L/*",3
"HO2020","BLK/FLOURO/M/*",2
"HO2020","BLK/FLOURO/XL/*",2
"HO2020","BLK/FLOURO/XXL/*",1
"HO2021","RED/BLACK/L/*",3
"HO2021","RED/BLACK/M/*",2
"HO2021","RED/BLACK/S/*",1
"HO2021","RED/BLACK/XL/*",2
"HO2021","RED/BLACK/XXL/*",1
"HO2022","BLK/BLUE/3XL/*",2
"HO2022","BLK/BLUE/4XL/*",1
"HO2022","BLK/BLUE/5XL/*",1
"HO2022","BLK/BLUE/XXL/*",2
"HO2024","BLK/PINK/L/*",2
"HO2024","BLK/PINK/M/*",2
"HO2024","BLK/PINK/S/*",1
"HO2024","BLK/PINK/XL/*",1
"HO2024","BLK/PINK/XS/*",1
"HO2025","BLK/FLORAL/L/*",3
"HO2025","BLK/FLORAL/M/*",4
"HO2025","BLK/FLORAL/S/*",3
"HO2025","BLK/FLORAL/XL/*",2
"HO2025","BLK/FLORAL/XS/*",1
