"ITEM_NO","LOC_ID","DIM_1_UPR","DIM_2_UPR","DIM_3_UPR","MIN_QTY","MAX_QTY","QTY_COMMIT","QTY_ON_HND","QTY_ON_PO","QTY_ON_BO","QTY_ON_XFER_OUT","QTY_ON_XFER_IN","QTY_ON_ORD","QTY_ON_LWY","QTY_ON_SO","LST_MAINT_DT","LST_MAINT_USR_ID","LST_LCK_DT","ROW_TS","NET_QTY","QTY_AVAIL","STK_STAT_PER_QTY_ON_HND","STK_STAT_PER_QTY_AVAIL","STK_STAT_PER_NET_QTY","REORD_PNT","EOQ","SFTY_STK","EOQ_CALC_ON","CELL_STAT","IS_ECOMM_ITEM_CELL","DROPSHIP_QTY_ON_CUST_ORD","DROPSHIP_QTY_ON_PO"
"686109","MAIN","XXX","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE385E",0,0,"O","O","O",,,,"","A","",0,0
"686110","MAIN","LG","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE386C",0,0,"O","O","O",,,,"","A","",0,0
"686110","MAIN","MED","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE386D",0,0,"O","O","O",,,,"","A","",0,0
"686110","MAIN","SM","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE386E",0,0,"O","O","O",,,,"","A","",0,0
"686110","MAIN","XL","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE386F",0,0,"O","O","O",,,,"","A","",0,0
"686110","MAIN","XS","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE3870",0,0,"O","O","O",,,,"","A","",0,0
"686110","MAIN","XXL","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE3871",0,0,"O","O","O",,,,"","A","",0,0
"686110","MAIN","XXX","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE3872",0,0,"O","O","O",,,,"","A","",0,0
"686111","MAIN","LG","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE3880",0,0,"O","O","O",,,,"","A","",0,0
"686111","MAIN","MED","*","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:56.000 PM","AJ","","0x0000000011EE3881",0,0,"O","O","O",,,,"","A","",0,0
